"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"We Are Family.","GLBT Families and Marriage"
"
Ж","GLBT Families and Marriage"
"Beyond Hatred (Au dela de la haine)","Homophobia / Violence Against GLBT People"
"Bright Eyes.","Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"Congressional Briefing on Homosexuals in the Military with Major Melissa Wells-Petry.","Homophobia / Violence Against GLBT People"
"Dear Jesse.","Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"Desire.","Homophobia / Violence Against GLBT People"
"Faith & Politics: The Christian Right.","Homophobia / Violence Against GLBT People"
"Fall From Grace.","Homophobia / Violence Against GLBT People"
"The Gay Agenda: The Report.","Homophobia / Violence Against GLBT People"
"Gay Rights- Special Rights: Inside the Homosexual Agenda.","Homophobia / Violence Against GLBT People"
"Hell House","Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"Homophobia in the Media and Society: One Life to Live and Beyond.","Homophobia / Violence Against GLBT People"
"Kamikaze Summer","Homophobia / Violence Against GLBT People"
"Licensed to Kill.","Homophobia / Violence Against GLBT People"
"The Matthew Shepard Story: Secrets of a Murder","Homophobia / Violence Against GLBT People"
"The Mormon Propo$ition: Equality for Some","Homophobia / Violence Against GLBT People"
"One Nation Under God.","Homophobia / Violence Against GLBT People"
"Out for a Change: Addressing Homophobia in Women's Sports.","Homophobia / Violence Against GLBT People"
"Out in Silence","Homophobia / Violence Against GLBT People"
"Outrage","Homophobia / Violence Against GLBT People"
"Paragraph 175","Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"The People vs. Dan White","Homophobia / Violence Against GLBT People"
"Pink Triangles: A Study of Prejudice Against Lesbians and Gay Men.","Homophobia / Violence Against GLBT People"
"Homophobia / Violence Against GLBT People"
"Plates.","Homophobia / Violence Against GLBT People"
"Prejudice: More Than Black & White","Homophobia / Violence Against GLBT People"
"The Rhetoric of Intolerance: An Open-Letter Video to Pat Robertson, Founder/Chairman of the Board, The 700 Club ... from Dr. Mel White, Minister of Justice, Universal Fellowship of Metropolitan Community Churches ...","Homophobia / Violence Against GLBT People"
"Scout's Honor","Homophobia / Violence Against GLBT People"
"This Way Out.","Homophobia / Violence Against GLBT People"
"Training Rules: No Drinking, No Drugs, No Lesbians","Homophobia / Violence Against GLBT People"
"The Aggressives","GLBT People of Color"
"Anthem and Affirmations: Two Short Films by Marlon T. Riggs","GLBT People of Color"
"GLBT People of Color"
"Black Hair and Black-eyed","GLBT People of Color"
"Brother Outsider: The Life of Bayard Rustin","GLBT People of Color"
"GLBT People of Color"
"Related web sites:"
"â€¢149; Ѭ href=""http://newsreel.org/nav/title.asp?tc=CN0148"">Description from California Newsreel catalogЖ","â€¢149; Ѭ href=""http://www.rustin.org/"">Information from the Bayard Rustin Film ProjectЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Carmelita Tropicana: Your Kunst Is Your Waffen","Carmelita Tropicana, a lesbian Latina performance artist who supports herself as a building super on New York's Lower East Side, winds up in jail with three other women after a protest at an abortion clinic. Humorous monologues and campy production numbers ensue. Performers: Carmelita Tropicana, Annie Iobst, Sophia Ramos, Livia Daza Paris. A film by Ala Troyano. 1994. 28 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1729"">DVD X1729Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8354"">Video/C 8354Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Cut Sleeve: Lesbians & Gays of Asian/Pacific Ancestry.","Gay and lesbian individuals from Asian and Pacific Island backgrounds discuss their attitudes and experiences as homosexuals. 1991. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3101"">Video/C 3101Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"A Different Kind of Black Man: On Being Gay...","Interviews with successful, black gay men about their ideas and feelings on such issues as sexuality, masculinity and their perception of and their role within the black community. 2001. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8145"">Video/C 8145Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Dirty Laundry: A History of Heroes","A history of Chinese who immigrated to Canada and of gay Chinese Canadians. 1996. 31 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4428"">Video/C 4428Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=57"">Center for Asian American Media catalog descriptionЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Edge of Each Other's Battles: The Vision of Audre Lorde","Documents black lesbian poet and activist Audre Lorde's (1934-92) social vision, using footage from the four-day conference: I am your sister: forging global connections across differences, held in Boston in 1990. At the conference 1,200 men, women and young people from 23 countries examined the issues of the relations between race, class, gender and sexuality through Lorde's work. Interviews with the organizers of the conference are intercut with conference footage, including performances, controversies and speeches. Producer, director, writer, Jennifer Abod. 2000. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7917"">DVD 7917Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc621"">s/c621Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Fated to Be Queer.","Four charming Filipino men illuminate some of their issues and concerns as gay people of color in the San Francisco Bay Area. Producer/director, Godfrey Reggio. 1992. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3256"">Video/C 3256Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=69"">Description from Center for Asian American Media catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Gender Me: Homosexuality in the World of Islam","Filmed in Istanbul and Oslo, this documentary by Turkish/Norwegian filmmaker Nefise â€¢214;zkal Lorentzen openly explores what it is like to be both gay and Muslim. Through the interrelated stories of a gay rights activist, a gay imam, drag artists, and others, the documentary gently denounces homophobia in general, encourages discourse and engagement within Islam as a positive societal approach to coming to terms with sexual otherness, and seeks to advance a loving appreciation of the oneness of all humankind. c2008. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2410"">DVD X2410Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Hijos del silencio (Sons of Silence)","Documents the cultural silences that affect safe sex practices of young gay Latinos in the San Francisco Bay Area. Includes interviews with young gay men about their families, coming out and sex. 2001. 36 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9141"">Video/C 9141Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Honored by the Moon.","Native American lesbians and gay men talk about their lives, speaking of the unique historical and spiritual role of gays and lesbians in pre-Western Indian culture, and of the sacredness associated with being lesbian or gay and having the special power as ""connectors"" in bridging the worlds of male and female. 1990. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3307"">Video/C 3307Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Full-text review from:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/HonoredbytheMoon.html"">ABC-CLIO Video Rating Guide for LibrariesЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc3"">s/c3Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"How Do I Look?","A documentary capturing the Harlem ""Ball"" traditions that originated in the 70's, an historically off shot from the Harlem ""Drag Balls"" from the 20's. Because of the loss of hundreds of members of the ""Ball"" community to the HIV epidemic, this film records an important aspect of the history and legacy of the event. Focuses primarily on the icon and legends Pepper Labeija, Willi Ninja, Tracy Africa, Kevin Omni and Octavia St. Laurent, who took their talents outside the ""Ball"" community successfully and opened many doors for their community. Produced and directed by Wolfgang Busch. c2006. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9282"">DVD 9282Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"I Got This Way from Eating Rice","Three films by Nguyen Tan Hoang dealing with the intersection of the Asian American race and homosexuality. 7 Steps to Sticky Heaven (1995, 24 min.): A documentary of interviews with a group of young gay Asian men in San Francisco on a range of subjects. Forever Jimmy! (1995, 6 min.): As a reaction to the lack of sexy Asian men in U.S. media, the film inserts Asian male pop stars into films in a barrage of seductive, fast edits and pornographic intertitles. Maybe Never (But I'm Counting the Days) (1996, 15 min.): Presents a multitude of narratives about the changing nature of sexual fantasy and activity in the age of AIDS. c1999. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7934"">Video/C 7934Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"I Shall Not Be Removed: The Life of Marlon Riggs.","A film biography of Marlon Riggs, the gifted, gay, black filmmaker who produced documentary films addressing issues of identity among Afro-Americans and gays. Clips from his films show how he evolved a unique experimental documentary style, mixing poetry, criticism, the personal and the political. It also documents his long battle against AIDS until his death in 1994 and includes interviews with family, friends, and co-workers. 1996. 58 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1410"">DVD X1410Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4463"">Video/C 4463Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Bibliography on this topic: ","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/riggsbib.html"">Marlon Riggs bibliographyЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""%20http://www.newsreel.org/films/ishallno.htm"">Description from California Newsreel catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/RiggsInterview.html"">Interview with Marlon Riggs from JumpCut MagazineЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"I'll Love You When You're More Like Me: Selected Videos (1996-2000)","Four films by Nguyen Tan Hoang exploring queer Asian American's engagement with popular culture. Forever Linda! (1996, 12 min.): Presents a series of daydreams of a queer Asian American teenager centering around the figure of supermodel Linda Evangelista. Cover Girl, a Gift from God (2000, 18 min.): Profiles Dalena, a blond, blue-eyed American singer who is a Vietnamese American pop star. The focus is on her reception by Vietnamese-American fans who through her music, seek to preserve a memory of what it means to be Vietnamese while living in America. Crimson (2000, 4 min.): Portrays the feeling of sadness when one loses a friend and object of love through a change in gender. The Calling (2000, 8 min.): Employing a collage of clips from classic priest movies, this film takes a look at Asian American men who are pushed by parents to become clergy. c2000. 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7935"">Video/C 7935Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Jagadamba: Mother of the Universe","Tells the story of a queer transracial adoptee and her healing journey through music. Amber Field was born in Korea in 1975 and adopted by a white American woman. Through her stories and powerful music, she shows that transforming family relations is possible. Written, produced and directed by Amber Field. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2131"">DVD X2131Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
