"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"The Pleasures of Uninhibited Excess: Three Machine Performances by Survival Research Laboratories, 1989-1990. San Francisco.","Contents: Illusions of shameless abundance (San Francisco, May 28, 1989) -- Artspace (San Francisco, July 11 to Aug. 19, 1989) -- A carnival of misplaced devotion (Seattle, June 23, 1990)
Three mechanized presentations, each consisting of a unique set of ritualized interactions between machines, robots, and special effects devices with humans present only as audience or operators. Includes interviews with creators and spectators of this performance art. 47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4618"">Video/C 4618Ж","â€¢149;Survival Research"
"Virtues of Negative Fascination: Five Mechanized Performances.","Contents: Baited trap (Excerpt) -- Deliberately false statements (San Francisco, Oct. 6, 1985) -- Area (N.Y. City, May 5, 1985) -- Extremely cruel practices (Los Angeles, Aug. 11, 1985) -- Club DV8 (San Francisco, June 6, 1986) -- Failure to discriminate (Seattle, May 24, 1986)
Compilation of five performance pieces by Survival Research Laboratories. Includes interviews with the creators of this performance art. All pieces feature industrial sound effects coupled with violent images of destruction and war based on destruction by fire and moving mechanical robots and devices such as guns and tanks. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4617"">Video/C 4617Ж","â€¢149;Survival Research"
"The Will to Provoke.","Documentary of Survival Research Laboratories' 1988 European tour. Includes commentary by S.R.L. founder/artistic director, Mark Pauline and assistant director/sound designer, Matt Heckert. 42 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5251"">Video/C 5251Ж","â€¢149;Survival Research"
"An Event by Ulay","A performance art piece ""exploring the interrelatednessof physical and mental realms"" by two early artists, Ulay and Marina Abramovic. Galerie Mike Steiner, Berlin, 1976. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5364"">Video/C 5364Ж","â€¢149;Ulay"
"Relation Work, 1976-1979: 14 performances","Contents: Relation in space -- Talking about similarity -- Breathing in, breathing out -- Imponderabilia -- Expansion in space -- Relation in movement -- Relation in time -- Light/Dark -- Balance proof -- AAA-AAA -- Incision -- Kaiserschnitt -- Charged space -- Three.
Performance art pieces illustrating art in confrontation with life and the individual versus the universal by early artists, Ulay and Marina Abramovic. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1996. 148 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5366"">Video/C 5366Ж","â€¢149;Ulay"
"The Best of William Wegman.","A collection of short, funny vignettes created between 1970 and 1978 that demonstrate why Wegman has been called the ""Buster Keaton of video."" Often utilizing the talents of his assistant (and sometimes pet), the dog Man Ray, Wegman reveals a cunning and unusual sense of humor. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3473"">Video/C 3473Ж","â€¢149;William Wegman"
"Selected Works, 1970-1978. Dog Baseball.","Selected video works 1970-18: Milk/floor - Stomach song -- Randy's sick -- Pocketbook man -- Talking fish -- Out and in -- Rage and depression -- Massage chair -- Crooked finger/crooked stick -- Deodorant -- Growl -- Spelling lesson -- Drinking milk -- Dog duet -- Starter -- Bad movies -- House for sale -- Horseshoes.
A collection of short, funny vignettes that demonstrate why Wegman has been called the ""Buster Keaton of video."" Often utilizing the talents of his assistant (and sometimes pet), the dog Man Ray, Wegman reveals a cunning and unusual sense of humor. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5247"">Video/C 5247Ж","â€¢149;William Wegman"
"Two dogs and a ball, used car salesman, dog biscuit in glass jar(Surveying the First Decade: Video Art and Alternative Media in the U.S.)","1972, 8 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9403"">Video/C 9403Ж","â€¢149;William Wegman"
"Video Works, 1970-1999","Compiled by the artist himself in collaboration with Artpix, this collection of 130 films features previously unavailable and newly restored works, many of which Wegman executed in the context of the just-burgeoning medium of video art. Memorable sequences included are ""Dog duet"", ""Milk/floor"", ""Massage chair"" and ""Stomach song"". Booklet in DVD case includes reprint of 1982 essay, "" Wegman's video: funny instead of formal"" by Kim Levin and definitive chronology of the complete videos. 236 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5384"">DVD 5384Ж","â€¢149;William Wegman"
"Robert Whitman: Performances from the 1960s","In the 1960s a group of New York painters and sculptors propelled their art into three-dimensional space and created a radical new form of artists' theater. Presented here are performance art pieces created by Robert Whitman that involve interaction of film, lights, sound, live performers, props, and objects. Includes original footage of The American moon (1960) and Flower (1963), short documentaries about the works and interviews with contemporaries. A recent performance of Prune Flat (1965) is accompanied by an interview with Whitman about the piece. Also: Presents Ghost (2002), Whitman's latest theater work. Artpix notebooks. c2003. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1583"">DVD 1583Ж","â€¢149;Robert Whitman"
"Gestures","A series of performance-based works in which Wilke faces the camera in extreme close-up and performs repetitive or durational physical actions. At times she kneads and pulls her skin as if it were sculptural material. Often her gestures -- rubbing her hands over her face, smiling so hard that she appears to be grimacing, sticking out her tongue -- take on a loaded significance when seen in the context of gender performance. 1974. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 36 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1178"">Video/C MM1178Ж","â€¢149;Hannah Wilke"
"Philly","Produced for German television, Philly documents a 1976 performance at the Philadelphia Museum of Art, in which Wilke interacts with Marcel Duchamp's Large Glass. The piece juxtaposes behind-the-scenes dialogue and preparations with the performance itself, showing us a playful Wilke. Originally produced in 1976 by Rosemarie Stenzel-Quast, I Sa Lo and Hannah Wilke. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 32 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1177"">Video/C MM1177Ж","â€¢149;Hannah Wilke"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/carlanotes.html"">Notes on Deafman Glance, Einstein on the Beach, the Civil WarS by Carla Blank, UCBЖ","â€¢149; Ѭ href=""#performance"">Performance, the Living ArtЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3471"">Video/C 3471Ж","â€¢149;Robert Wilson"
"Absolute Wilson","A look at one of experimental theater's most influential figures, who collaborated on works with people such as Tom Waits and Philip Glass. Explores his life from his upbringing in Waco, Texas to the way of life he brought to the screen. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3419"">Video/C 3419Ж","â€¢149;Robert Wilson"
"Deafman Glance: A Work for Television","This haunting work tells a stark and stylized story of murder, using time and space, light and movement, and isolated sound in place of spoken words. The ritualistic action is both dreamlike and sinister. A somber, menacing woman washes white dishes and a gleaming carving knife, and then slowly attacks first one yong boy and then another. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4682"">Video/C 4682Ж","â€¢149;Robert Wilson"
"Einstein on the Beach: The Changing Image of Opera","Through performance and rehearsal footage and interviews with composer Philip Glass and designer/director Robert Wilson, film examines the opera Einstein on the Beach. Glass and Wilson explain some of their structural choices and the concepts behind the opera which is a poetical interpretation of Albert Einstein. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3419"">Video/C 3419Ж","â€¢149;Robert Wilson"
"Robert Wilson and the Civil WarS","9:35  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4346"">Video/C 4346Ж","â€¢149;Robert Wilson"
"â€¢149; See Ѭ href=""#LeCompte"">Elizabeth LeCompteЖ","â€¢149;Wooster Group"
"Ѭ href=""#top"">To the topЖ","","â€¢149;Wooster Group"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC//music.html#experimental"">Separate music videographyЖ","Music/SoundЖ"
"Ѭ href=""#top"">To the topЖ","","Music/SoundЖ"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/DanceVid.html"">Separate Dance videographyЖ","DanceЖ"
"Ѭ href=""#top"">To the topЖ","","DanceЖ"
"Art/PhotographyЖ","DanceЖ"
"See also the following MRC Videographies:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">Separate Art/Photography videographyЖ","DanceЖ"
"Ѭ href=""#top"">To the topЖ","","DanceЖ"
"ЖOtherЖ","A Crack in the TubeЖ","A collection of short films and videorecordings that illustrate the images television injects into modern life, especially those of women, and their social effects. Includes three contemporary video productions, a commercial of the 1950s, and a Nicaraguan game show.
Contents: Made for TV / by Tom Rubnitz and Ann Magnuson -- Betty Furness for Westinghouse -- Kiss the girls, make them cry / by Dara Birnbaum -- Aqui en esta esquina / Sistema Sandinista de Television -- Betty Furness for Westinghouse --Joan does Dynasty / conceived/written, produced and performed by Joan Braderman. 90 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3766"">Video/C 3766Ж","DanceЖ"
"Fact is Stranger Than Fiction","A collection of seven short videorecordings and films which comprise worlds made up of fantasy, illusion, fact, and speculation. Focusing primarily on women, each work addresses the ambiguous questions of what and how we believe.
Contents: Illusions / produced, written and directed by Julie Dash -- Kleenex Napkin's Cling like cloth -- Semiotics of the Kitchen / Martha Rosler -- Design for dreaming / M.P.O. Productions -- Possibly in Michigan / written & directed by Cecelia Condit -- Art world wizard / by Carole Ann Klonarides, Michael Owen -- Leaving the 20th century / a videotape by Max Almy. 90 min. 

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3181"">Video/C 3181Ж","DanceЖ"
"The East Village Other (EVO): Electric Newspaper, Hiroshima Day, USA vs. Underground.[sound recording]","Contents: Luci's wedding (Plastic Clock Radio) -- If I had a half a mind (Steve Weber) -- Gossip (Gerard Malanga, Ingrid Superstar) -- Noise (the Velvet Underground) -- Jazz improv (Marion Brown, Scott Holt, Ron Jackson) -- Mantras (Allen Ginsberg, Peter Orlovsky) -- Luci's wedding (Plastic Clock Radio) -- Love and ashes (Tuli Kupferberg and Viki Pollon with Peter Rawson on guitar) -- The free lance pall bearers -- Silence (Andy Warhol). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FD+187"">Sound/D 187Ж","DanceЖ"
"Gang of Souls","William S. Burroughs, Allen Ginsberg, Marianne Faithfull, Jim Carroll, John Giorno, Gregory Corso, Diane Diprima [sic], Ed Sanders, Anne Waldman, Henry Rollins, Richard Hell, Lydia Lunch. Poetry and prose, with interviews of American authors and poets by Winchester Chimes, Tom Becker and Kathryn Simon. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4345"">Video/C 4345Ж","DanceЖ"
"Its Clean, It Just Looks Dirty","Trust in the Lord / Cabaret Voltaire (5:55) -- Girl who lives on Heaven Hill / Husker Du (5:00) -- Two excerpts from Eyes Without Blood / Diamanda Galas(4:28) -- Sand / Einsturzende Neubauten (4:00) -- Energy and How To Get It / Robert Frank; Rudy Wurlitzer; Gary Hill (14:20) -- Scum & Slime / John Giorno Band (4:04) -- Heard the News / David Johansen (4:18) -- Excerpts directed by Howard Brookner / Robert Wilson and the Civil WarS (9:35) -- A Screw / Swans (3:30) -- Unclean / Psychic TV (3:30) -- No Smoking in This Theater / John Waters (:39). 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4346"">Video/C 4346Ж","DanceЖ"
"ЖPersistence of VisionЖ. 1, Monitoring the Media.","Contents: Why I got into TV / Irene Segalove -- Television delivers people / Richard Serra, Carlota Fay Schoolman -- Three transitions / Peter Campus --The President's world / Gorilla Tapes -- Excerpts and euphoria / Edward Mowbray -- The pastrami sandwich / Irene Segalove -- Dragnet kiss / Irene Segalove -- Composite news composite / Nancy Burson -- The eternal frame / Ant Farm, T. R. Uthco. The first of a series of videodiscs that present examples of some of the best recent video art including parodies, political analysis, computer animation, unusual narrative forms and other elements that exploit the power of video. This first volume presents nine video works that portray broadcast television as a tool of commerce and state power. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+113"">Video/D 113Ж","DanceЖ"
"Persistence of Vision. 2Ж, Outside the Lines.","Contents: Sunstone / Ed Emshwiller -- The space between the teeth / Bill Viola -- Cartes postales / Cahen, Huber and Longuet -- Sabda / Don Reeves --East/West / Su-Chen Hung -- Cartes postales / Cahen, Huber and Longuet -- Arcade / Lyn Blumenthal, Carol Ann Klondarides, Ed Pashke -- Ich Mache die Schmerz-Probe / Marcel Odenbach -- Fetishistic scopophilia / Alicia Nogueira -- Videoflashes / Michel Jaffrennou. -- Ear to the ground / John Sanborn, Kit Fitzgerald, David van Tieghen. The second of a series of videodiscs that present examples of some of the best recent video art including parodies, political analysis, computer animation, unusual narrative forms and other elements that exploit the power of video. This second volume presents a collection of video art pieces that explore the intrinsic aesthetic of the video medium. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+114"">Video/D 114Ж","DanceЖ"
"Persistence of Vision. 3, New Narrative.","Contents: Accidents in the home / Graham Young -- Chanoyu / Dalibor Martinis, Sanja Ivekovic -- The West is alive (Der Westen lebt) / Klaus vom Bruch, Heike-Melba Fendel -- L.A. nickel / Branda Miller -- Dogs (Back and forth) / William Wegman -- Le Train / Francois Girard -- The woman who went too far / Colin Campbell --Possibly in Michigan / Cecilia Condit. The third of a series of videodiscs that present examples of some of the best recent video art including parodies, political analysis, computer animation, unusual narrative forms and other elements that exploit the power of video. This third volume is a collection of video art pieces in which some new storytellers continue to expand the vocabulary of narrative through the innovative use of audio-visual forms. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+115"">Video/D 115Ж","DanceЖ"
"Raindance: Media Primers","Contents: Paul Ryan's Proto Media Primer (1970, 16 min.) -- Ira Schneider's Media Primer (1970, 23 min.) -- Michael Shamberg's Media Primer (1971, 17 min.) Raindance's Media Primers reflect the group's iconoclastic theories of television and video, and their engagement with alternative and mass media, pop culture and the counter-culture. The themes addressed -- media manipulation, the camera's role in modifying individual behavior -- illustrate their experimentation with the technological and conceptual underpinnings of 1/2-inch portable video. Paul Ryan's Proto Media Primer includes scenes of Abbie Hoffman awaiting the verdict from the Chicago 7 trial and ironic man-on-the-street interviews. Merging alternative video and mass media, Ira Schneider's Media Primer juxtaposes cultural indicators -- television commercials, news footage, and Portapak documentation of countercultural events such as the Altamount rock concert. In Michael Shamberg's Media Primer, rhetoric and gestures are skewered as he examines the political structure of alternative media. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1170"">Video/C MM1170Ж","DanceЖ"
"Two Moon July.Ж","Produced for The Kitchen by Carlota Schoolman. Contents: 1. Artist warm up -- 2. Difficult listening / Laurie Anderson -- 3. Reports from L.A. / David Byrne -- 4. Olympic fragments / Ken Fitzgerald, John Sanborn -- 5. Laurie Anderson -- 6. O superman / Laurie Anderson -- 7. Damnation of Faust / Dana Birnbaum -- 8. Boating / John and Evan Lurie -- 9. Inspiration / Bill T. Jones -- 10. Sexual metaphors -- 11. Stories, myths, ironies / Michel Auder -- 12. Hatsu-Yume : first dream / Bill Viola -- 13. Fui loaco / Arto Lindsay, Toni Nogueira -- 14. Red Italy / Eric Mitchell -- 15. The red tapes / Vito Acconci -- 16. Atlantic / George Lewis, Gregory Miller -- 17. Hemisphere / Molissa Fenley -- 18. Tour de pijama / Arto Lindsay, Toni Nogueira -- 19. Ash get off that cigarette / Arto Lindsay, Toni Nogueira -- 20. Clonetics -- 21. America is waiting / Bruce Conner -- 22. Mad rush / Philip Glass. Credits: Director, Tom Bowes ; producer, Carlota Schoolman ; visual art installations, Jonathan Borofsky, Brian Eno, Cindy Sherman, Robert Longo ; film, Bruce Conner, Eric Mitchell ; video, Vito Acconci, Michel Auder, Dara Birnbaum, Kit Fitzgerald, Gregory Miller, John Sanborn, Bill Viola ; camera, Ed Bowes ; editing, Tom Bowes, Steve Giuliano. 80 min. 
Ѭ href=""#top"">Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3399"">Video/C 3399Ж","DanceЖ"
"","DanceЖ"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html"">Avant-garde and experimental filmЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж","DanceЖ"
