"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Bhutan: In Pursuit of Gross National Happiness","For centuries, Bhutan has been closed to the outside world until development started in the early sixties. Bhutan has been deliberately pursuing a cautious but economically successful path of development to preserve its unique culture and traditional values and its fragile largely unexploited natural environment. This film explores how this nation, which has been declared a role model in sustainable development, is balancing heritage and development. 1997. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM428"">Video/C MM428Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Birth of Pakistan.","Traces the history of Pakistan from its beginning as a Muslim separatist movement, its independence as a political entity, the separation of Bangladesh, the battle resulting in the Indus Water Treaty and its ongoing struggle to establish and maintain a democratic government. Includes the history of its political leaders: Mohamed Ali Jinnah, Zulfikar Ali Bhutto, Mohammad Zia-ul-Haq, and Benazir Bhutto. 1990. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5175"">Video/C 5175Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Bomb Under the World.","An ornately decorated elephant leads a parade through an Indian village, in a promotional campaign for soap. Consumer society is coming, and India's growing population looks for the same goods and a similar living standard as the West enjoys. This film examines the consequences of Western-style consumerism in a large developing country. 1994 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7203"">Video/C 7203Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.bullfrogfilms.com/catalog/bomb.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bombay CallingЖ","Well educated English-speaking youth in India, eager to cash in on the global gold rush of telemarketing jobs from the West are willing to sacrifice almost anything to do it. For their efforts, they are paid more money than their parents ever dreamed of earning. And they spend it, frequenting a new brand of all-night discos that cater to their unusual office hours. In Bombay Calling, filmmakers Ben Addelman and Samir Mallal dive into the bustling world of late nights, long hours and hard partying in Bombay. The result is a compelling insider's look at youth culture in India, and a growing number of young people who choose to follow the American dream...Indian style. Written and directed by Ben Addelman, Samir Mallal. Dist.: Third World Newsreel. 2006. 71 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6686"">DVD 6686Ж","See also:","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Ѭ href=""#800"">1-800-IndiaЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#kingcalls"">King of CallsЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#calcutta"">Calcutta CallingЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8682"">DVD 8682Ж","â€¢149;Ѭ href=""#nalini"">Nalini by Day, Nancy by NightЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5383"">DVD 5383Ж","â€¢149;Ѭ href=""#diverted"">Diverted to DelhiЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9721"">Video/C 9721Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Reviews and articles:","â€¢149;Hudson, Dale. ""Undesirable Bodies and Desirable Labor: Documenting the Globalization and Digitization of Transnational American Dreams in Indian Call Centers."" Cinema Journal; Fall2009, Vol. 49 Issue 1, p82-102, 21p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=47852159&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bombay: Our City","Four million slum dwellers make up half of Bombay's population. Although they are the city's workforce--industrial laborers, construction workers, domestic servants--they are denied city utilities like electricity, sanitation, and water. 1985. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3163"">Video/C 3163Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://icarusfilms.com/cat97/a-e/bombay__.html"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Born Into Brothels","While living in the red light district of Calcutta and documenting life in the brothels, New York-based photographer Zana Briski embarked on a project by which she gave cameras to the children of prostitutes and taught them photography, awakening within them hidden talent and creativity and giving them a means to transform their lives. A film by Ross Kauffman & Zana Briski. c2005. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4383"">DVD 4383Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Awards","â€¢149;Academy Awards - Best Documentary, Features","â€¢149;American Library Association Video Round Table Notable Videos for Adults","â€¢149;Full Frame Documentary Film Festival - Audience Award","â€¢149;International Documentary Association Award - Feature Documentary","â€¢149;Los Angeles Film Critics Association Awards - Best Documentary","â€¢149;National Board of Review, USA - Best Documentary","â€¢149;Sundance Film Festival - Audience Award, Documentary","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Curry, Andrew. ""Young Eyes on Calcutta."" Smithsonian, May2005, Vol. 36 Issue 2, p62-66, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=16808362&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Fowler, Raymond D. ""Born into Brothels."" PsycCRITIQUES, Vol 50 (30), 2005. Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=pvh&AN=psq-2005-1524-1-2&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Michel, Frann. ""From 'Their Eyes' to 'New Eyes': Suffering Victims and Cultivated Aesthetics in Born into Brothels."" Post Script: Essays in Film and the Humanities, vol. 26, no. 3, pp. 53-61, Summer 2007 Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00455731"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Rangan, Pooja. ""Immaterial Child Labor: Media Advocacy, Autoethnography, and the Case of Born into Brothels."" Camera Obscura: A Journal of Feminism, Culture, and Media Studies, vol. 25, no. 75 [3], pp. 143-177, 2011 Ѭ href=""http://cameraobscura.dukejournals.org/cgi/reprint/25/3_75/143?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=born+into+brothels&andorexactfulltext=and&searchid=1&FIRSTINDEX=0&sortspec=relevance&resourcetype=HWCIT"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Roth, Joshua Hotaka. ""Born Into Brothels."" American Anthropologist, Mar2010, Vol. 112 Issue 1, p151-152, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=48243954&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Smith, Debbie James. ""Big-Eyed, Wide-Eyed, Sad-Eyed Children: Constructing the Humanitarian Space in Social Justice Documentaries."" Studies in Documentary Film, vol. 3, no. 2, pp. 159-175, 2009 Ѭ href=""http://www.atypon-link.com/INT/doi/pdf/10.1386/sdf.3.2.159/1"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Tres, Georgia. ""The Hip Ephebe: Hollywood and Ethnicity."" International Journal of the Humanities; Nov2007, Vol. 5 Issue 4, p65-70, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=28808741&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Born to Bondage","Looks at the plight of women in India, where girls are considered to be worth less than boys, often killed as fetuses or as wives sometimes killed over disputes over dowries. These intolerable situations have giving birth to a new found militancy. Phoolan Devi was brutally raped by 22 higher caste men. To revenge this outrage, she led a gang who set about murdering her assailants. After eleven years in jail she is now in parliament compaigning for women. 1985. 40 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7539"">Video/C 7539Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Breaking Barriers (Clean Water for Dhaka's Slums).(Water for All Series)","Documentary on a local nongovernmental organization that has pioneered an effective scheme to bring water to poor communities in the squalid slums of Dhaka, Bangladesh. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM446"">Video/C MM446Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Breaking Barriers","Documentary film looking at some of the initiatives of the community and the state to prevent domestic violence in India. 1999. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8945"">DVD 8945Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bridge of Democracy","In Urdu with addresses in English. Prime Minister Mohtarma Benazir Bhutto's visit to the United States of America (June 5th to June 10th, 1989). 1989. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3902"">Video/C 3902Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Buddha and the Rice-planters: Songs and Drums of Sri Lanka","In the 3rd century B.C. Sinhalese village life, folklore, religious rites, sculpture, painting, music and dance became wholly integrated with Buddhism and remains so today. Villagers are seen cultivating and harvesting their rice fields, accompanied by songs and dances. 198? 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1016"">Video/C MM1016Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Building from Below","Documentary on the impact of agroforestry on rural villages of India, showing several successful land and forest reclamation projects. PAL format. 1999. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7942"">Video/C 7942Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Burning Mines: Impact of Coal Mining on Women","A documentary on the family life of coal miners of Bhubaneswar, India, with particular reference to its impact on women. PAL format. 1998. 33 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7926"">Video/C 7926Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Calcutta","When he was cutting Phantom India, Louis Malle found that the footage shot in Calcutta was so diverse, intense, and unforgettable that it deserved its own film. The result, released theatrically, is a chaotic portrait of a city racked with social and political turmoil. Directed by Louis Malle. 1969. 99 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7513"">DVD 7513Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3602"">Video/C 3602Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Calcutta CallingЖ","A snapshot of globalization at work in the 21st century. This documentary follows Vikeel Uppal, a young man who works in a busy calling center, as he gets tutored in the English language, learns pronunciation from commercials and movies, and watches English soccer matches to gain insight into the people he calls on a daily basis. Director, Andre Hormann. Dist. Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. c2005. 17 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8682"">DVD 8682Ж","See also:","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Ѭ href=""#bombay"">Bombay CallingЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#diverted"">Diverted to DelhiЖ ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1893"">DVD X1893Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9721"">Video/C 9721Ж","â€¢149;Ѭ href=""#kingcalls"">King of CallsЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1299"">DVD X1299Ж","â€¢149;Ѭ href=""#nalini"">Nalini by Day, Nancy by NightЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5383"">DVD 5383Ж","â€¢149;Ѭ href=""#800"">1-800-INDIAЖ ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6570"">DVD 6570Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Calcutta Calling","Sasha Khokha filmed three teenage girls, adopted at birth from a Bengali orphanage by white American families living in rural Swedish-Lutheran Minnesota, as they journey to Calcutta. Directed by Sasha Khokha. Produced at UC Berkeley Graduate School of Journalism, 2004. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1295"">Video/C MM1295Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"California Dreaming.","A documentary on Indian brides for export. Punjabi girls dream of marrying to move overseas, to escape to a life of ""no restrictions,"" where ""a woman's work is appreciated"" and ""there is plenty of money."" But the glamour of life abroad is offset by the reality of immigration problems from refusal of visas to hopelessly waiting to hear from their husband. 1998. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4266"">DVD 4266Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Catalysts of Change.","Three programs concerning human rights, sustenance of the environment and the fulfillment of basic human needs in India. In Search of Shelter examines the housing conditions of the lowest caste in Calcutta. The Plough and the Sickle explores agriculture and sharecropping in India. Fringe Dwellers examines the social and economic conditions of the indigenous peoples of India. 1988. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4728"">Video/C 4728Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Caste at Birth.","In India there are 150 million ""untouchables"" who live a segregated life. They cannot own land or get an education and are condemned from birth to the most menial jobs. While the government has tried to improve the condition of the untouchables, these attempts have met with strong resistance from upper caste Hindus who profit from this source of cheap labor. However, a few leaders have arisen from their ranks, who, in the face of overwhelming odds, are trying to bring about change. Written, directed, and produced by Mira Hamermesh. 1990. 52 min.  
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7319"">DVD X7319Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4913"">Video/C 4913Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites: â€¢149;Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=297"">Description from Filmakers Library catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Chatisagarhi Sangavari.","Film on the social life of the Chattisagarh region of India. In Chattisgarhi. 1994. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4553"">Video/C 4553Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Child Labor [Part 1]","First segment: Looks at Pakistan's system of child labor and the movement to abolish it with excerpts from ""The Carpet,"" a documentary film by Magnus Bergmar. The segment concludes with an examination of the tragic death of Iqbal Masih and charges that his death was part of a conspiracy against him by Pakistan's carpet ""mafia."" Second segment: An interview with UNICEF deputy executive director, Guido Bertolaso. Segment from the television program Rights & wrongs broadcast April 25, 1995. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6720"">Video/C 6720Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Children of Asia: Making a Difference","Presents four stories of children in Asia who are making a difference by overcoming their environments. The 1st work focuses on child laborers in southern India who form a union to defend their rights, the 2nd focuses on a teenage girl in northern Thailand coping with becoming an AIDS orphan, the 3rd focuses on children in East Timor striving to overcome the trauma of armed conflict, and the 4th focuses on poor children in Bangladesh, Cambodia, and India who are benefiting from information and communication technology. 2001. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM449"">Video/C MM449Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Circles-cycles: Kathak Dance","Celebrates various images of Shiva, the Hindu Lord of dance, as expressed in ritual dance. Illustrates the concept of the circular in Indian philosophy and religion through music and dance performances of Kathak, the classical dance form of North India. Includes the history, technique, and lore behind Kathak dance. 28 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6567"">Video/C 6567Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Classical Indian Dance.","Presents classical dances from India, demonstrating the range of this art form with its combination of mime, gesture, facial expression and body movement, all executed within a traditional framework rich in allegory.
Contents: Odissi / Dancer, Ranjna Gauhar. -- Bharatanatyam ""Vernam"" / Alarmel Valli. -- Kathak / Durga Lal. -- Bharatanatyam ""Todayam"" / Chitralekha Bolar, Indra Thigarajah. -- Kutchipudi / J. Venkatachalapati. -- Kathak / Nahid Siddiqui. -- Bharatanatyam ""Vernam"" / Alarmel Valli. -- Bharatanatyam ""Ardhaneshwaram"" / Chitra Sundaram. -- Bharatanatyam ""Tillana"" / J. Venkatachalapati. -- Odissi ""Pallavi"" / Ranjna Ganhar. -- Kathak / Durga Lal. -- Bharatanatyam / Chitralekha Bolar. -- Kathak ""Tarana"" / Nahid Siddiqui. 1995. 60 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4577"">Video/C 4577Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
