"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"Freedom!","A documentary series chronicling the epic journey of America's commitment to liberty and the idea of freedom. Based on the book series A History of US by Joy Hakim. c2003. 52 min. each installment
","â€¢149; Episode 1: The colonists in America decide to stake everything on an armed struggle for freedom and a chance to build a new kind of nation. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149; Episode 2: Episode 2: After defeating the world's most awesome military power, Americans turn to the task of creating a government that will live up to their high ideals. Concludes with a look at the unknown West through the Lewis and Clark expedition. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149; Episode 3: America was founded as a free land in which people could live out their own destiny but at what cost to Native Americans? ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149; Episode 4: The Industrial Revolution brings Americans new leisure and personal freedom, but also mounting problems to factory workers, including children. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149; Episode 5: The Declaration of Independence declares, ""All men are created equal,"" but there is a glaring exception -- America's slaves. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 6: The most terrible war in America's history is fought over the future of slavery in our nation. Looks at the issue of slavery, the abolition movement and the Civil War. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 7: After the Civil War political turmoil takes place in Washington D.C. and a new age of segregation begins. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 8: White settlers and soldiers massacre western Indians, while U.S. immigrants become targets of increasing prejudice. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 9: As the split widens between the rich and the poor, a new labor movement arises fighting for the rights of workers. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 10: The newly unveiled Statue of Liberty symbolizes all that is best in America, inspiring an era of reform and compassion. Looks at the work of Susan B. Anthony and women's suffrage, child labor, John Muir, Ida Tarbell and her exposure of abuses by Rockefeller's Standard Oil, and Jane Addams, the first American social worker. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 11: With help from the Wright brothers, the country begins to soar culminating in the trans-Atlantic flight by Lindbergh. Americans join a fight for freedom in World War I and at home women get the vote. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 12: America enters into an economic depression, Franklin D. Roosevelt initiates the New Deal and the United States enters World War II. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 13: America becomes the acknowledged leader of the free world and embarks on a course of rebuilding democracies abroad. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 14: In the 1950s and early '60s a freedom movement emerges with the purpose of ending segregation and racism against African-Americans becoming the most effective social revolution in U.S. history. It also examines the presidency of John F. Kennedy and the rise of the National Farm Workers Association. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 15: Looks at Lyndon B. Johnson, his presidency and the Vietnam War, during a decade that threatened to tear the country apart. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","â€¢149;Episode 16: Continues to explore advances made in the Civil Rights Movement and desegregation and looks at the ensuing presidencies. Concludes with the terrorist attack of September 11, 2001 and at what may become the next issues in America's freedom struggle. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2196"">DVD 2196Ж","U.S. History"
"[Franklin, Benjamin]Benjamin Franklin","Pt. 1 (episodes 1 & 2). Let the experiment be made ; The making of a revolutionary -- Pt. 2 (episode 3). The chess master. An extensive, detailed examination of the extraordinary life of Benjamin Franklin, from his humble beginnings to fame as a scientist, founding father, and America's first diplomat to France. Produced & directed by Ellen Hovde, Muffie Meyer. Originally presented on PBS. c2002. 210 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM475"">Video/C MM475Ж","U.S. History"
"[Goldman, Emma] Emma Goldman: An Exceedingly Dangerous Woman","Presents the story of Emma Goldman, the Russian immigrant whose activism in the name of free speech, free thought, and free love and whose virulent attacks on government, big business, and American participation in the First World War earned her sainthood among the Left and, ultimately, deportation. 2003. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2595"">DVD 2595Ж","U.S. History"
"[Goldman, Emma] The Anarchist Guest: Emma Goldman","Depicts the life and philosopies of Emma Goldman, an anarchist nicknamed ""Red Emma"" for her radical political views. Follows her tumultuous life from Russia to the United States and her eventual deportation from the U.S. because of her politics. Traces Goldman's journey to the Canadian home where she found exile in her later years. 2000. 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7932"">Video/C 7932Ж","U.S. History"
"Great DepressionЖ (60 min. each.)","â€¢149; A Job at Ford's. Just before the advent of the Great Depression, Henry Ford controlled the most important company in the most important industry in the booming American economy. His offer of high wages in exchange for hard work attracted workers to Detroit, but it began to come apart when Ford hired a private police force to speed up production and spy on employees. After the depression hit in 1929, these workers faced a new, grim reality as unemployment skyrocketed.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1162"">DVD X1162Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3171"">Video/C 3171Ж","â€¢149;The Road to Rock Bottom. As the Great Depression progressed economic collapse took its toll on rural America. Crops went unsold, farm mortgages were called in by banks, hungry farmers protested, and robberies increased dramatically. The U.S. Army was called in to defend the nation's capital from veterans who were demanding that President Hoover and Congress pay a bonus for their services in World War I. The film ends with Franklin Roosevelt's landslide election to the presidency.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1163"">DVD X1163Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3172"">Video/C 3172Ж","â€¢149;New Deal/New York. In his first one hundred days in office, in a effort to stem the effects of the Great Depression, President Roosevelt created many new federal agencies giving jobs and relief to people and transforming the American landscape with public works projects. Nowhere was this transformation more apparent than in Mayor Fiorello La Guardia's New York City. Together Roosevelt and La Guardia expanded and redefined the role of government in the lives of the American people.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1164"">DVD X1164Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3173"">Video/C 3173Ж","â€¢149; We Have a Plan. By 1934, as the nation grappled with the Great Depression, challenges to the New Deal from both sides of the political spectrum began to appear. Despite new government programs unrest was increasing especially in California, where the socialist, Upton Sinclair, ran for governor promising to turn idle land and factories into self-governing cooperatives. Sinclair's campaign ended in defeat, but one year later President Roosevelt's signing of the Social Security Act signaled America's emergence as a modern welfare state.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1165"">DVD X1165Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3174"">Video/C 3174Ж","â€¢149;Mean Things Happening.In the American democracy of the 1930's two visions of liberty collided as working men and women battled landowners and factory managers for the right to join a union. On the tenant farms and in the steel factories working people asserted their citizenship in the midst of great economic turmoil and a tide of government reform.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1166"">DVD X1166Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3175"">Video/C 3175Ж","â€¢149;To Be Somebody.Many Americans, struggling to survive the Great Depression, were determined to help build a better America through direct action in the courts, in the Congress and in everyday life. At a time when lynchings, segregation, and anti-semitism were commonplace, black heavy-weight champion, Joe Louis became a symbol of national strength. In very different ways Louis and First Lady Eleanor Roosevelt challenged America to live up to its promise of justice and opportunity for people of every race and faith.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1167"">DVD X1167Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3176"">Video/C 3176Ж","â€¢149;Arsenal of Democracy.By 1939 Americans were still struggling to end the Great Depression. Their dreams of peace and prosperity were celebrated at World's Fairs in New York and San Francisco, but prosperity did not come in peacetime. Millions fled the ""dust bowl"" states to finally find work in new defense industries. While the New Deal changed America forever, it was war that ended the Great Depression.  [preservation copy] 

Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/GreatDepression.html"">ABC-CLIO Video Rating Guide for LibrariesЖ



Reviews and articles:
â€¢149;Cole, Lewis. ""The Great Depression."" (television program reviews) Nation v257, n18 (Nov 29, 1993):668 (5 pages).
â€¢149;Goodman, Walter. ""The Great Depression."" (television program reviews) New York Times v143 (Mon, Oct 25, 1993):B3(N), pC18(L), col 1
â€¢149;Leonard, John. ""The Great Depression."" (television program reviews) New York v26, n42 (Oct 25, 1993):97 (2 pages).
â€¢149; Ward, Geoffrey C. ""The Great Depression."" (television program reviews) American Heritage v44, n7 (Nov, 1993):16 (2 pages).

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1168"">DVD X1168Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3177"">Video/C 3177Ж","U.S. History"
"The Guestworker","Documents the story of Mexican farm workers who enter the United States legally as part of the H-2A guest worker program, and looks at the issues surrounding the program. Focuses on a 66-year-old man who has worked on North Carolina farms for forty years, both legally and illegally, and on his employer, who is dependent upon foreign laborers to sustain his farm. Produced and directed by Cynthia Hill and Charles Thompson. 1990. 53 min. 

Related web sites:
â€¢149;Ѭ href=""http://filmakers.com/indivs/Guestworker.htm"">Description from Filmakers Library catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6622"">DVD 6622Ж","U.S. History"
"Great Moments of the 20th Century [Sound Recording]","Disc 1. 1900-1953: The new century, the World wars and fragile peace -- Disc 2. 1953-1969: The Atomic era, the Cold War and the '60s -- Disc 3. 1970-1999: Equal rights, Watergate and Glasnost.
A three CD collection that includes nearly 200 audio clips from the people and events that shaped the turbulent 20th century. Each disc combines newsworthy political, social and economic events with insightful pop-culture developments to provide an educational and entertaining view of the last 100 years. Accompanied by a 100 page book which includes track-by-track commentary, decade-by-decade essays, hundreds of historic photos, and a comprehensive time line. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSOUND%2FD+89"">SOUND/D 89Ж","U.S. History"
"The Great San Francisco Earthquake.","The amazing resources of the human spirit in the face of adversity were demonstrated by the diverse population of San Francisco during and after the April 18, 1906 earthquake and fire which struck with 12,000 times the force of the Hiroshima atomic bomb. Although 3000 lives were lost and 6 1/2 billion bricks were dumped after the earthquake, the indomitable pioneer spirit prevailed as the city was rebuilt in three years. Four years later San Francisco hosted the 1915 World's Fair with a sense of triumph and invincibility. 58 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3317"">DVD X3317Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1526"">Video/C 1526Ж","U.S. History"
"Great American Speeches [Sound Recordings]
","â€¢149; Read by Melvyn Douglas, Vincent Price, Ed Begley, Carl Sandburg. Liberty or death (March 28, 1775) / Patrick Henry (7:57) -- Inaugural address (April 30, 1789) / George Washington (7:24) -- First inaugural address (March 4, 1801) / Thomas Jefferson (13:21) -- On the admission of Louisiana (January 14, 1811) / Josiah Quincy (20:21) -- On the War of 1812 (January 8, 1813) / Henry Clay (7:45) -- The ""house divided"" speech (June 17, 1858) / Abraham Lincoln (2:47) -- The crime against Kansas (May 19-20, 1856) / Charles Sumner (10:15) -- The Cooper Union speech (February 27, 1860) / Abraham Lincoln (2:40) -- On secession (January 7, 1861) / Robert Toombs (14:10) -- The Gettysburg address (November 19, 1863) / Abraham Lincoln (2:53) -- Farewell to his troops (General order no. 9) (April 9, 1865) / Robert E. Lee (1:50) -- The ""cross of gold"" speech (June 8, 1896) / William Jennings Bryan (21:45). 114 min. :1","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FC+88"">Sound/C 88Ж","â€¢149;Speeches recited by Ed Begley, George Grizzard, and E. G. Marshall. Naboth's vineyard, 1898 / by W. J. Bryan -- The march of the flag, Sept. 16, 1898 / by A. J. Beveridge -- Public education, Nov. 23, 1900 / by Mark Twain -- The man with the muck rake, April 14, 1906 / by Theodore Roosevelt -- To the jury: self-defense, Aug. 14-15, 1912 / by Clarence Darrow -- Soldier's pay, Sept. 10, 1917 / by Robert La Follette -- Fourteen points, Jan. :2","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FC+88"">Sound/C 88Ж","â€¢149;Original recordings. Morgenthau's plan, April 28, 1935 / Will Rogers -- War comes to Europe, Sept. 1, 1939 / Herbert Hoover -- Declaration of war, Dec. 8, 1941 / Franklin D. Roosevelt -- On his ninetieth birthday, Mar. 7, 1931 / Oliver Wendell Holmes, Jr -- First inaugural address, Mar. 4, 1933 / Franklin D. Roosevelt -- The Truman Doctrine, Mar. 12, 1947 / Harry Truman -- The Marshall Plan, June 5, 1947 / George C. Marshall -- Loyal opposition, Nov. 11, 1940 / Wendell Wilkie -- Order of the day, June 6, 1944 / Dwight D. Eisenhower. :3","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FC+88"">Sound/C 88Ж","â€¢149;Nobel Prize speech, Dec. 10, 1950 / William Faulkener (3:00) -- Address before Congress, April 19, 1951 / Douglas MacArthur (36:30) -- Acceptance of nomination, July 26, 1952 / Adlai Stevenson (15:05) -- Abraham Lincoln, Feb. 12, 1959 / C. Sandburg (19:50) -- Kennedy-Nixon opening statements: The fourth debate,","U.S. History"
"Great American Speeches","Read by Melvyn Douglas, Vincent Price, Ed Begley, and Carl Sandburg; directed by Howard Sackler. ""Liberty or death"" speech, by Patrick Henry.--First inaugural address, by George Washington.--First inaugural address, by Thomas Jefferson.--On the admission of Louisiana, by Josiah Quincy.--On the War of 1812, by Henry Clay.--The ""House divided"" speech, by Abraham Lincoln.--The crime against Kansas, by Charles Sumner.--The Cooper Union speech, by Abraham Lincoln.--On secession, by Robert Toombs.--The Gettysburg Address, by Abraham Lincoln.--Farewell to his troops (General order no.9), by Robert E. Lee.-- ""Cross of gold"" speech, by William Jennings Bryan. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FC+887"">Sound/C 887Ж","U.S. History"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html#greatspeeches"">Great Speeches.Ж","See US Politics and Government","U.S. History"
"The Great War--1918.(American Experience)","Chronicles the story of United States soldiers in the closing battle of World War I as it was told through the letters and diaries of men including General John J. (Blackjack) Pershing, Sergeant Alvin York, and Sergeant Harry S. Truman. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1537"">Video/C 1537Ж","U.S. History"
"Great War and the Shaping of the 20th Century. 58 min. each","â€¢149; Explosion. The World War of 1914 to 1918, the Great War, was the first of the major catastrophes of the 20th century. This episode, the first of eight, examines the causes of World War I. The program affords coverage of the assassination of the Austrian Archduke Franz Ferdinand and the turbulent political climate throughout Europe as factors which led to the outbreak of war. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5256"">Video/C 5256Ж","â€¢149; Stalemate. This program examines the military operations of 1914, with emphasis on the Western Front. Almost from the outset, World War I became a stalemate with a line of trenches stretching from the Swiss Alps to the English Channel. This episode, the second of eight, explores why the war devolved into one of trench warfare. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5256"">Video/C 5256Ж","â€¢149;Total War. This episode of the Great War, the third of eight, examines the evolution of World War I from a conflict fought across the landscape of Europe to a global war. Coverage is afforded events in Great Britain and Turkey. The use of terror in modern war and the evolution of ""total war"" -- especially regarding aerial and chemical weapons -- is explored in this program. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5257"">Video/C 5257Ж","â€¢149;Slaughter. This episode, the fourth of eight, examines the military operations of the Western Front through the eyes of the soldiers who manned the trenches and fought the battles. Through study of the battles of Verdun, the Somme and Passchendaele, a social portrait of the common soldier is developed and analyzed. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5257"">Video/C 5257Ж","â€¢149;Mutiny. This episode of the Great War, the fifth of an eight part series, examines the toll that the war was taking on the soldiers and civilians by 1917. Unrest on the homefront and mutiny on the Western Front posed vexing problems for political leaders and military planners. On the Eastern Front, resentment toward the war effort would turn into rebellion and then revolution. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5258"">Video/C 5258Ж","â€¢149;Collapse. Episode six of the Great War examines the critical year of 1918. After the mutiny within the French Army and revolution in Russia, the Germans were still firmly entrenched on the Western Front. The arrival of the United States forces in Europe would determine the outcome of the war. This program probes the issue of American involvement as the deciding factor in Germany's defeat. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5258"">Video/C 5258Ж","â€¢149;Hatred and Hunger. Episode seven of the Great War examines the end of World War I with emphasis on unresolved issues from the Balkans to the Middle East. World War I brought the collapse of four empires, the death of nine million soldiers and the ruin of much of Europe. The struggle to rebuild lives, countries and governments would set the stage for an even greater catastrophe a generation later. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5259"">Video/C 5259Ж","â€¢149;War Without End. The final episode of the Great War explores the aftermath of World War I and the failed peace. For the ""lost generation,"" the war would be without end as they struggled with broken hopes, broken families and broken lives. In Germany, the sense of betrayal and dishonor prompted some Germans to seek revenge. The man who rose up to lead them was Adolph Hitler. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5259"">Video/C 5259Ж","U.S. History"
